question,language,intent,field_focus,query_focus,source
List all post-matric scholarship schemes.,en,FILTER_SEARCH,,list_expand,synthetic
Show all scholarships with tuition fee reimbursement.,en,FILTER_SEARCH,,list_expand,synthetic
List all technical education scholarships.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for professional courses.,en,FILTER_SEARCH,,list_expand,synthetic
What is the Scholarship for students of minority communities pursuing Higher and Professional courses?,en,SCHEME_INFO,,,synthetic
Tell me about the Minority Scholarship under DTE.,en,SCHEME_INFO,,,synthetic
Explain the DTE Minority Scholarship.,en,SCHEME_INFO,,,synthetic
Give complete details of the Minority Scholarship.,en,SCHEME_INFO,,,synthetic
What is the Higher and Professional Courses Minority Scholarship?,en,SCHEME_INFO,,,synthetic
Which department offers the Minority Scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Who provides the Minority Scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Is this scholarship under the Directorate of Technical Education?,en,DEPARTMENT_QUERY,dept,,synthetic
Which government department manages this scheme?,en,DEPARTMENT_QUERY,dept,,synthetic
Who implements this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Who is eligible for the Minority Scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can minority students apply for this scholarship?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can Muslim students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can Christian students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can Buddhist students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can Jain students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can Sikh students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can Parsi students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can Jewish students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can diploma students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can engineering students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can postgraduate students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students admitted through CAP apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Are management quota students eligible?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is Maharashtra domicile compulsory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is Aadhaar mandatory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is SSC from Maharashtra mandatory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is 50% attendance compulsory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can I renew this scholarship next year?,en,FOLLOW_UP,,,synthetic
Can previous beneficiaries renew this scholarship?,en,FOLLOW_UP,,,synthetic
What is the income limit for this scholarship?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Is ₹8 lakh the maximum family income?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
How much scholarship amount will I receive?,en,BENEFIT_QUERY,benefit,,synthetic
What benefits are provided under this scholarship?,en,BENEFIT_QUERY,benefit,,synthetic
Does this scholarship reimburse tuition fees?,en,BENEFIT_QUERY,benefit,,synthetic
Does this scholarship reimburse examination fees?,en,BENEFIT_QUERY,benefit,,synthetic
Is the benefit limited to ₹50,000?,en,BENEFIT_QUERY,benefit,,synthetic
How is the scholarship amount paid?,en,BENEFIT_QUERY,benefit,,synthetic
Is there reservation for girl students?,en,SCHEME_FIELD_QUERY,benefit,,synthetic
What percentage of scholarships are reserved for girls?,en,SCHEME_FIELD_QUERY,benefit,,synthetic
How do I apply for this scholarship?,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
Explain the application process.,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
Can I apply online?,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
What documents are required?,en,DOCUMENT_QUERY,documents,,synthetic
Which certificates should I upload?,en,DOCUMENT_QUERY,documents,,synthetic
Is income certificate required?,en,DOCUMENT_QUERY,documents,,synthetic
Show all minority scholarships.,en,FILTER_SEARCH,,list_expand,synthetic
List all DTE scholarships for minority students.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for Muslim students.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for Christian students.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for Buddhist students.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for Jain students.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for Sikh students.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for Parsi students.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for students with family income below ₹8 lakh.,en,FILTER_SEARCH,,list_expand,synthetic
List post-matric minority scholarships.,en,FILTER_SEARCH,,list_expand,synthetic
What is the Assistance to Meritorious Students Scholarship - Junior Level?,en,SCHEME_INFO,,,synthetic
Tell me about the Junior Level Meritorious Students Scholarship.,en,SCHEME_INFO,,,synthetic
Explain the DHE Meritorious Students Scholarship.,en,SCHEME_INFO,,,synthetic
Give complete details of the Junior Level Scholarship.,en,SCHEME_INFO,,,synthetic
What is the Assistance to Meritorious Students Scheme?,en,SCHEME_INFO,,,synthetic
Which department provides this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Who administers the Junior Level Scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Is this scholarship under the Directorate of Higher Education?,en,DEPARTMENT_QUERY,dept,,synthetic
Which government department offers this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Who is the implementing authority?,en,DEPARTMENT_QUERY,dept,,synthetic
Who is eligible for the Junior Level Scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can Class 11 students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can Class 12 students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students studying outside Maharashtra apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can Maharashtra students studying outside the state apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students from government colleges apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students from government-aided colleges apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can private recognized college students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is Aadhaar mandatory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Do I need a DHE scholarship sanction letter?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is Maharashtra domicile compulsory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can scholarship recipients renew this scheme?,en,FOLLOW_UP,,,synthetic
What are the renewal conditions?,en,FOLLOW_UP,,,synthetic
Do I need 55% marks for renewal?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can I receive another scholarship with this one?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can backward-class students receive both scholarships?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can National Talent Search Scholarship holders apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
What financial assistance is provided?,en,BENEFIT_QUERY,benefit,,synthetic
Does this scholarship cover tuition fees?,en,BENEFIT_QUERY,benefit,,synthetic
Does it reimburse examination fees?,en,BENEFIT_QUERY,benefit,,synthetic
Is hostel fee covered?,en,BENEFIT_QUERY,benefit,,synthetic
Are food charges included?,en,BENEFIT_QUERY,benefit,,synthetic
Will I receive book allowance?,en,BENEFIT_QUERY,benefit,,synthetic
Does the scholarship pay laboratory fees?,en,BENEFIT_QUERY,benefit,,synthetic
Does the scholarship pay library fees?,en,BENEFIT_QUERY,benefit,,synthetic
Is gymkhana fee reimbursed?,en,BENEFIT_QUERY,benefit,,synthetic
How is the scholarship amount paid?,en,BENEFIT_QUERY,benefit,,synthetic
How do I apply for this scholarship?,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
Explain the application process.,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
Can I apply online?,en,SCHEME_FIELD_QUERY,how_to_apply,,synthetic
What documents are required?,en,DOCUMENT_QUERY,documents,,synthetic
Which certificates should I upload?,en,DOCUMENT_QUERY,documents,,synthetic
Is the DHE sanction letter required while applying?,en,DOCUMENT_QUERY,documents,,synthetic
Show all DHE scholarship schemes.,en,FILTER_SEARCH,,list_expand,synthetic
List all scholarships for Class 11 students.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships for meritorious students.,en,FILTER_SEARCH,,list_expand,synthetic
List all Junior College scholarships.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships with hostel allowance.,en,FILTER_SEARCH,,list_expand,synthetic
Show scholarships with fee reimbursement.,en,FILTER_SEARCH,,list_expand,synthetic
List all post-matric scholarships under DHE.,en,FILTER_SEARCH,,list_expand,synthetic
Tell me about the Assistance to Meritorious Students scholarship - Senior Level.,en,SCHEME_INFO,,,synthetic
What is the Assistance to Meritorious Students scholarship - Senior Level?,en,SCHEME_INFO,,,synthetic
Can you explain the Assistance to Meritorious Students scholarship - Senior Level?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Assistance to Meritorious Students scholarship - Senior Level?,en,ELIGIBILITY,,,synthetic
What are the eligibility criteria for the Assistance to Meritorious Students scholarship - Senior Level?,en,ELIGIBILITY,,,synthetic
Can diploma students apply for the Assistance to Meritorious Students scholarship - Senior Level?,en,ELIGIBILITY,,,synthetic
Can postgraduate students apply for the Assistance to Meritorious Students scholarship - Senior Level?,en,ELIGIBILITY,,,synthetic
Is Maharashtra domicile required for the Assistance to Meritorious Students scholarship - Senior Level?,en,ELIGIBILITY,,,synthetic
Are distance education students eligible for the Assistance to Meritorious Students scholarship - Senior Level?,en,ELIGIBILITY,,,synthetic
Can I study outside Maharashtra and still get the Assistance to Meritorious Students scholarship - Senior Level?,en,ELIGIBILITY,,,synthetic
What benefits are available under the Assistance to Meritorious Students scholarship - Senior Level?,en,BENEFITS,,,synthetic
Does the Assistance to Meritorious Students scholarship - Senior Level cover tuition fees?,en,BENEFITS,,,synthetic
Does the Assistance to Meritorious Students scholarship - Senior Level cover examination fees?,en,BENEFITS,,,synthetic
Does the Assistance to Meritorious Students scholarship - Senior Level provide hostel allowance?,en,BENEFITS,,,synthetic
Does the Assistance to Meritorious Students scholarship - Senior Level provide book allowance?,en,BENEFITS,,,synthetic
Can I renew the Assistance to Meritorious Students scholarship - Senior Level?,en,RENEWAL,,,synthetic
What are the renewal conditions for the Assistance to Meritorious Students scholarship - Senior Level?,en,RENEWAL,,,synthetic
How many marks are required for renewal of the Assistance to Meritorious Students scholarship - Senior Level?,en,RENEWAL,,,synthetic
What documents are required for the Assistance to Meritorious Students scholarship - Senior Level?,en,DOCUMENTS,,,synthetic
Which department offers the Assistance to Meritorious Students scholarship - Senior Level?,en,DEPARTMENT,,,synthetic
Tell me about Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE).,en,SCHEME_INFO,,,synthetic
What is Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,SCHEME_INFO,,,synthetic
Can you explain Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,SCHEME_INFO,,,synthetic
Who is eligible for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
What are the eligibility criteria for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
What is the income limit for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
Can EBC students apply for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
Can SEBC students apply for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
Can Open category students apply for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
Can students pursuing professional courses apply for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
Can students pursuing non-professional courses apply for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
Is Maharashtra domicile required for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
Can students admitted through Management Quota apply for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
Can students staying in Government hostels apply for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,ELIGIBILITY,,,synthetic
What benefits are available under Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,BENEFITS,,,synthetic
How much maintenance allowance is provided under Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,BENEFITS,,,synthetic
What is the maintenance allowance for Mumbai students under Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,BENEFITS,,,synthetic
What is the maintenance allowance for Taluka students under Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,BENEFITS,,,synthetic
Can I renew Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,RENEWAL,,,synthetic
What documents are required for Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,DOCUMENTS,,,synthetic
Which department offers Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE)?,en,DEPARTMENT,,,synthetic
Tell me about the Education Concession to the Children of Freedom Fighter.,en,SCHEME_INFO,,,synthetic
What is the Education Concession to the Children of Freedom Fighter scheme?,en,SCHEME_INFO,,,synthetic
Can you explain the Education Concession to the Children of Freedom Fighter scheme?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Education Concession to the Children of Freedom Fighter scheme?,en,ELIGIBILITY,,,synthetic
What are the eligibility criteria for the Education Concession to the Children of Freedom Fighter scheme?,en,ELIGIBILITY,,,synthetic
Can grandchildren of Freedom Fighters apply for the Education Concession to the Children of Freedom Fighter scheme?,en,ELIGIBILITY,,,synthetic
Can adopted children of Freedom Fighters apply for this scheme?,en,ELIGIBILITY,,,synthetic
Can wives of Freedom Fighters apply for this scheme?,en,ELIGIBILITY,,,synthetic
Can postgraduate students apply for the Education Concession to the Children of Freedom Fighter scheme?,en,ELIGIBILITY,,,synthetic
Can students pursuing professional courses apply for the Education Concession to the Children of Freedom Fighter scheme?,en,ELIGIBILITY,,,synthetic
Is Maharashtra domicile required for the Education Concession to the Children of Freedom Fighter scheme?,en,ELIGIBILITY,,,synthetic
Can students studying outside Maharashtra apply for the Education Concession to the Children of Freedom Fighter scheme?,en,ELIGIBILITY,,,synthetic
Are distance education students eligible for the Education Concession to the Children of Freedom Fighter scheme?,en,ELIGIBILITY,,,synthetic
What benefits are available under the Education Concession to the Children of Freedom Fighter scheme?,en,BENEFITS,,,synthetic
Does the Education Concession to the Children of Freedom Fighter scheme cover tuition and admission fees?,en,BENEFITS,,,synthetic
Does the Education Concession to the Children of Freedom Fighter scheme provide book allowance?,en,BENEFITS,,,synthetic
Does the Education Concession to the Children of Freedom Fighter scheme provide additional scholarship amount?,en,BENEFITS,,,synthetic
What documents are required for the Education Concession to the Children of Freedom Fighter scheme?,en,DOCUMENTS,,,synthetic
Which department offers the Education Concession to the Children of Freedom Fighter scheme?,en,DEPARTMENT,,,synthetic
Is Aadhaar-linked bank account mandatory for the Education Concession to the Children of Freedom Fighter scheme?,en,ELIGIBILITY,,,synthetic
Tell me about the Education Concession to the Children of Ex-Servicemen.,en,SCHEME_INFO,,,synthetic
What is the Education Concession to the Children of Ex-Servicemen scheme?,en,SCHEME_INFO,,,synthetic
Can you explain the Education Concession to the Children of Ex-Servicemen scheme?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Education Concession to the Children of Ex-Servicemen scheme?,en,ELIGIBILITY,,,synthetic
What are the eligibility criteria for the Education Concession to the Children of Ex-Servicemen scheme?,en,ELIGIBILITY,,,synthetic
Can daughters of Ex-Servicemen apply for this scheme?,en,ELIGIBILITY,,,synthetic
Can widows of Ex-Servicemen apply for this scheme?,en,ELIGIBILITY,,,synthetic
Can wives of Ex-Servicemen apply for this scheme?,en,ELIGIBILITY,,,synthetic
Can professional course students apply for the Education Concession to the Children of Ex-Servicemen scheme?,en,ELIGIBILITY,,,synthetic
Is Maharashtra domicile required for the Education Concession to the Children of Ex-Servicemen scheme?,en,ELIGIBILITY,,,synthetic
Can students studying outside Maharashtra apply for the Education Concession to the Children of Ex-Servicemen scheme?,en,ELIGIBILITY,,,synthetic
Are distance education students eligible for the Education Concession to the Children of Ex-Servicemen scheme?,en,ELIGIBILITY,,,synthetic
What is the income limit for the Education Concession to the Children of Ex-Servicemen scheme?,en,ELIGIBILITY,,,synthetic
Can EWS students apply for the Education Concession to the Children of Ex-Servicemen scheme?,en,ELIGIBILITY,,,synthetic
Can SEBC students apply for the Education Concession to the Children of Ex-Servicemen scheme?,en,ELIGIBILITY,,,synthetic
What benefits are available under the Education Concession to the Children of Ex-Servicemen scheme?,en,BENEFITS,,,synthetic
Does the Education Concession to the Children of Ex-Servicemen scheme cover tuition fees?,en,BENEFITS,,,synthetic
What documents are required for the Education Concession to the Children of Ex-Servicemen scheme?,en,DOCUMENTS,,,synthetic
Which department offers the Education Concession to the Children of Ex-Servicemen scheme?,en,DEPARTMENT,,,synthetic
Is Aadhaar-linked bank account mandatory for the Education Concession to the Children of Ex-Servicemen scheme?,en,ELIGIBILITY,,,synthetic
Tell me about the Eklavya Scholarship.,en,SCHEME_INFO,,,synthetic
What is the Eklavya Scholarship?,en,SCHEME_INFO,,,synthetic
Can you explain the Eklavya Scholarship?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Eklavya Scholarship?,en,ELIGIBILITY,eligibility,Eklavya Scholarship,synthetic
What are the eligibility criteria for the Eklavya Scholarship?,en,ELIGIBILITY,eligibility,Eklavya Scholarship,synthetic
Am I eligible for the Eklavya Scholarship?,en,ELIGIBILITY,eligibility,Eklavya Scholarship,synthetic
What is the income limit for the Eklavya Scholarship?,en,ELIGIBILITY,income,Eklavya Scholarship,synthetic
Is the annual family income limit ₹75,000 for the Eklavya Scholarship?,en,ELIGIBILITY,income,Eklavya Scholarship,synthetic
Can unemployed students apply for the Eklavya Scholarship?,en,ELIGIBILITY,employment,Eklavya Scholarship,synthetic
Can employed students apply for the Eklavya Scholarship?,en,ELIGIBILITY,employment,Eklavya Scholarship,synthetic
Is full-time admission mandatory for the Eklavya Scholarship?,en,ELIGIBILITY,course_mode,Eklavya Scholarship,synthetic
Can part-time students apply for the Eklavya Scholarship?,en,ELIGIBILITY,course_mode,Eklavya Scholarship,synthetic
What percentage is required for Science graduates under the Eklavya Scholarship?,en,ELIGIBILITY,marks,Eklavya Scholarship,synthetic
What percentage is required for Arts, Commerce, or Law graduates under the Eklavya Scholarship?,en,ELIGIBILITY,marks,Eklavya Scholarship,synthetic
Is attendance mandatory for the Eklavya Scholarship?,en,ELIGIBILITY,attendance,Eklavya Scholarship,synthetic
What is the minimum attendance required for the Eklavya Scholarship?,en,ELIGIBILITY,attendance,Eklavya Scholarship,synthetic
Can B.Ed. students apply for the Eklavya Scholarship?,en,ELIGIBILITY,course,Eklavya Scholarship,synthetic
Are MBA or MCA students eligible for the Eklavya Scholarship?,en,ELIGIBILITY,course,Eklavya Scholarship,synthetic
Can PhD students apply for the Eklavya Scholarship?,en,ELIGIBILITY,course,Eklavya Scholarship,synthetic
Can students studying outside Maharashtra apply for the Eklavya Scholarship?,en,ELIGIBILITY,residence,Eklavya Scholarship,synthetic
Can private university students apply for the Eklavya Scholarship?,en,ELIGIBILITY,institution,Eklavya Scholarship,synthetic
Can I receive another government scholarship along with the Eklavya Scholarship?,en,ELIGIBILITY,other_scholarship,Eklavya Scholarship,synthetic
What benefits are provided under the Eklavya Scholarship?,en,BENEFITS,benefits,Eklavya Scholarship,synthetic
Does the Eklavya Scholarship cover examination fees?,en,BENEFITS,exam_fee,Eklavya Scholarship,synthetic
Can I renew the Eklavya Scholarship?,en,RENEWAL,renewal,Eklavya Scholarship,synthetic
Is Aadhaar-linked bank account mandatory for the Eklavya Scholarship?,en,DOCUMENTS,documents,Eklavya Scholarship,synthetic
Tell me about the Government Research Adhichatra.,en,SCHEME_INFO,,,synthetic
What is the Government Research Adhichatra scheme?,en,SCHEME_INFO,,,synthetic
Can you explain the Government Research Adhichatra scholarship?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Government Research Adhichatra?,en,ELIGIBILITY,eligibility,Government Research Adhichatra,synthetic
What are the eligibility criteria for Government Research Adhichatra?,en,ELIGIBILITY,eligibility,Government Research Adhichatra,synthetic
Can PhD students apply for Government Research Adhichatra?,en,ELIGIBILITY,course,Government Research Adhichatra,synthetic
Is Government Research Adhichatra only for postgraduate students?,en,ELIGIBILITY,education,Government Research Adhichatra,synthetic
What academic marks are required for Government Research Adhichatra?,en,ELIGIBILITY,marks,Government Research Adhichatra,synthetic
Is there any income limit for Government Research Adhichatra?,en,ELIGIBILITY,income,Government Research Adhichatra,synthetic
Can students outside Maharashtra apply for Government Research Adhichatra?,en,ELIGIBILITY,residence,Government Research Adhichatra,synthetic
Can students studying in private universities apply for Government Research Adhichatra?,en,ELIGIBILITY,institution,Government Research Adhichatra,synthetic
How long is the fellowship under Government Research Adhichatra?,en,BENEFITS,duration,Government Research Adhichatra,synthetic
What benefits are available under Government Research Adhichatra?,en,BENEFITS,benefits,Government Research Adhichatra,synthetic
Does Government Research Adhichatra provide a stipend?,en,BENEFITS,stipend,Government Research Adhichatra,synthetic
Does Government Research Adhichatra cover tuition fees?,en,BENEFITS,tuition_fee,Government Research Adhichatra,synthetic
Can Government Research Adhichatra be renewed?,en,RENEWAL,renewal,Government Research Adhichatra,synthetic
Is Aadhaar-linked bank account mandatory for Government Research Adhichatra?,en,DOCUMENTS,documents,Government Research Adhichatra,synthetic
Which institutes are eligible under Government Research Adhichatra?,en,ELIGIBILITY,institution,Government Research Adhichatra,synthetic
Can I pursue more than one research programme under Government Research Adhichatra?,en,ELIGIBILITY,research_programme,Government Research Adhichatra,synthetic
How many Government Research Adhichatra fellowships are available?,en,SCHEME_INFO,seats,Government Research Adhichatra,synthetic
Tell me about the Government Vidyaniketan Scholarship.,en,SCHEME_INFO,,,synthetic
What is the Government Vidyaniketan Scholarship?,en,SCHEME_INFO,,,synthetic
Can you explain the Government Vidyaniketan Scholarship?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Government Vidyaniketan Scholarship?,en,ELIGIBILITY,eligibility,,synthetic
What are the eligibility criteria for the Government Vidyaniketan Scholarship?,en,ELIGIBILITY,eligibility,,synthetic
Can 10th pass students apply for the Government Vidyaniketan Scholarship?,en,ELIGIBILITY,education_level,,synthetic
Is the Government Vidyaniketan Scholarship only for students from Government Vidyaniketan schools?,en,ELIGIBILITY,eligibility,,synthetic
What percentage is required to apply for the Government Vidyaniketan Scholarship?,en,ELIGIBILITY,marks,,synthetic
Do I need 60% in SSC to get the Government Vidyaniketan Scholarship?,en,ELIGIBILITY,marks,,synthetic
Is Aadhaar-linked bank account mandatory for the Government Vidyaniketan Scholarship?,en,DOCUMENTS,bank_account,,synthetic
Can I renew the Government Vidyaniketan Scholarship?,en,RENEWAL,renewal,,synthetic
How are students selected for the Government Vidyaniketan Scholarship?,en,ELIGIBILITY,selection,,synthetic
Who can apply for the Government Vidyaniketan Scholarship in Maharashtra?,en,ELIGIBILITY,state,,synthetic
Can students studying outside Maharashtra apply for the Government Vidyaniketan Scholarship?,en,ELIGIBILITY,state,,synthetic
Is domicile of Maharashtra required for the Government Vidyaniketan Scholarship?,en,ELIGIBILITY,domicile,,synthetic
How many seats are available under the Government Vidyaniketan Scholarship?,en,SCHEME_INFO,seats,,synthetic
Which Government Vidyaniketan institutions are covered under this scholarship?,en,SCHEME_INFO,institutions,,synthetic
Can I receive another government scholarship along with the Government Vidyaniketan Scholarship?,en,ELIGIBILITY,other_scholarship,,synthetic
What benefits are provided under the Government Vidyaniketan Scholarship?,en,BENEFITS,benefits,,synthetic
Does the Government Vidyaniketan Scholarship cover tuition fees?,en,BENEFITS,tuition_fee,,synthetic
Does the Government Vidyaniketan Scholarship reimburse exam fees?,en,BENEFITS,exam_fee,,synthetic
What is the income limit for the Government Vidyaniketan Scholarship?,en,ELIGIBILITY,income,,synthetic
Is the Government Vidyaniketan Scholarship available for EWS students?,en,ELIGIBILITY,caste,,synthetic
Is the Government Vidyaniketan Scholarship available for SEBC students?,en,ELIGIBILITY,caste,,synthetic
Tell me about the Jawaharlal Nehru University Scholarship.,en,SCHEME_INFO,,,synthetic
What is the Jawaharlal Nehru University Scholarship?,en,SCHEME_INFO,,,synthetic
Can you explain the Jawaharlal Nehru University Scholarship?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Jawaharlal Nehru University Scholarship?,en,ELIGIBILITY,eligibility,,synthetic
What are the eligibility criteria for the Jawaharlal Nehru University Scholarship?,en,ELIGIBILITY,eligibility,,synthetic
Can JRF students apply for the Jawaharlal Nehru University Scholarship?,en,ELIGIBILITY,course,,synthetic
Is the Jawaharlal Nehru University Scholarship only for JNU students?,en,ELIGIBILITY,institution,,synthetic
Do I need to study at Jawaharlal Nehru University to get this scholarship?,en,ELIGIBILITY,institution,,synthetic
Who selects the recipient of the Jawaharlal Nehru University Scholarship?,en,ELIGIBILITY,selection,,synthetic
How many students receive the Jawaharlal Nehru University Scholarship each year?,en,SCHEME_INFO,seats,,synthetic
Can I renew the Jawaharlal Nehru University Scholarship?,en,RENEWAL,renewal,,synthetic
What documents are required for renewal of the Jawaharlal Nehru University Scholarship?,en,RENEWAL,progress_report,,synthetic
Is Aadhaar-linked bank account mandatory for the Jawaharlal Nehru University Scholarship?,en,DOCUMENTS,bank_account,,synthetic
Can I pursue more than one course under the Jawaharlal Nehru University Scholarship?,en,ELIGIBILITY,course,,synthetic
Can students studying outside Maharashtra apply for the Jawaharlal Nehru University Scholarship?,en,ELIGIBILITY,state,,synthetic
Is Maharashtra domicile required for the Jawaharlal Nehru University Scholarship?,en,ELIGIBILITY,domicile,,synthetic
Are part-time or distance courses eligible for the Jawaharlal Nehru University Scholarship?,en,ELIGIBILITY,course_mode,,synthetic
What benefits are provided under the Jawaharlal Nehru University Scholarship?,en,BENEFITS,benefits,,synthetic
Does the Jawaharlal Nehru University Scholarship reimburse tuition fees?,en,BENEFITS,tuition_fee,,synthetic
Does the Jawaharlal Nehru University Scholarship reimburse exam fees?,en,BENEFITS,exam_fee,,synthetic
What is the income limit for the Jawaharlal Nehru University Scholarship?,en,ELIGIBILITY,income,,synthetic
Is the Jawaharlal Nehru University Scholarship available for EWS students?,en,ELIGIBILITY,caste,,synthetic
Is the Jawaharlal Nehru University Scholarship available for SEBC students?,en,ELIGIBILITY,caste,,synthetic
Tell me about the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme.,en,SCHEME_INFO,,,synthetic
What is the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,,,synthetic
Can you explain the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,,synthetic
